Original Sentence	Modified Sentence	Case Rule Applied	Source of Data
Ẹ̀ ń lọlé ọdún àbi? Ẹ kú ìpalẹ̀mọ́ ọdún o.	E n lole odun abi? E ku ipalemo odun o.	remove_accents_and_underdots	greetings
Mo kíi yín o, ẹ kú ìpalẹ̀mọ ọdún.	Mo kii yin o, e ku ipalemo odun.	remove_accents_and_underdots	greetings
Ẹ kú ọ̀gbẹlẹ̀ yìí o baba.	E ku ogbele yii o baba.	remove_accents_and_underdots	greetings
Oru yìí pọ̀, a kú ọ̀gbẹlẹ̀.	Oru yii po, a ku ogbele.	remove_accents_and_underdots	greetings
Ẹ kú ọ̀gbẹlẹ̀ yìí ẹ̀yin àgbẹ̀.	E ku ogbele yii eyin agbe.	remove_accents_and_underdots	greetings
Ẹ kú iṣẹ́, a sì kú ọ̀gbẹlẹ̀.	Ẹ ku iṣẹ, a si ku ọgbẹlẹ.	remove_only_accents	greetings
Ẹ̀rún ti dé, ẹ kú ọ̀gbẹlẹ̀.	Ẹrun ẹ de, ti ku ọgbẹlẹ.	remove_only_accents_and_swap_word	greetings
Ẹ kú dédé àsìkòyìí, ẹ sì kú ọ̀dá yìí.	E ku dede asikoyii, e si ku oda yii.	remove_accents_and_underdots	greetings
A kí àwọn ará ilú, ẹ kú ọ̀dá yìí.	A ki awon ara ilu, e ku oda yii.	remove_accents_and_underdots	greetings
Mo ní ẹ kú ọ̀dá yìí.	Mo ni e ku oda yii.	remove_accents_and_underdots	greetings
Wọ́n fi iṣu ránṣẹ́ wọ́n sì ní kí n kíi yín kú ọ̀dá yìí.	Wọn fi iṣu ranṣẹ wọn si ni ki n kii yin ku ọda yii.	remove_only_accents	greetings
Odò ti gbẹ, ẹ kú ọ̀dá yìí.	Odo ti gbẹ, ẹ ku ọda yii.	remove_only_accents	greetings
Ẹ ǹlẹ́ o, a kú ọ̀gìnnìtì.	E nle o, a ku oginniti.	remove_accents_and_underdots	greetings
Ẹ kú ojúmọ́, ẹ sì kú ògìnnìtì.	E ku ojumo, e si ku oginniti.	remove_accents_and_underdots	greetings
Ẹ kú ògìnnìtì yìí ìya Péjú!	Ẹ ku oginniti yii iya Peju!	remove_only_accents	greetings
À kú ògìnnìtì, ṣé ẹ ò rótùtú?	A ku oginniti, ṣe ẹ o rotutu?	remove_only_accents	greetings
Ẹ kú ọ̀gìnnìtì ẹ̀yin abiyamọ.	E ku oginniti eyin abiyamo.	remove_accents_and_underdots	greetings
Ara ò le bí? Ẹ kú òtútù yìí.	Ara o le bi? E ku otutu yii.	remove_accents_and_underdots	greetings
Arámìde, a kú òtútù yìí.	Aramide, a ku otutu yii.	remove_accents_and_underdots	greetings
Ẹ kú ìjókò, a sì kú òtútù yìí.	Ẹ ku ijoko, si a ku otutu yii.	remove_only_accents_and_swap_word	greetings
Ẹ kú oko o, ẹ sì kú òtútù yìí.	E ku oko o, e si ku otutu yii.	remove_accents_and_underdots	greetings
Ẹ pẹ̀lẹ́, ẹ kú òtútù.	E pele, e ku otutu.	remove_accents_and_underdots	greetings
Ẹ káàsán, ẹ sì kú ìgbà tó dé yìí.	Ẹ kaasan, ẹ si ku igba to de yii.	remove_only_accents	greetings
Ẹ kú ọjọ́ mẹ́ta, ẹ sì kú ìgbà tó dé yìí.	Ẹ ku ọjọ mẹta, igba si ku ẹ to de yii.	remove_only_accents_and_swap_word	greetings
Ẹ kú ìrin ọjọ́, a sì kú ìgbà tó dé yìí.	E ku irin ojo, a si ku igba to de yii.	remove_accents_and_underdots	greetings
Gbogbo ilé ńkọ́? Ẹ kú ìgbà tó dé yìí.	Gbogbo ile nkọ? Ẹ ku igba to de yii.	remove_only_accents	greetings
Ẹ kú ìgbà tó dé yìí ẹyin ọ̀rẹ́!	E ku igba to de yii eyin ore!	remove_accents_and_underdots	greetings
Ẹ kú àsìkò yìí ẹ̀yin èyan mi!	Ẹ ku asiko yii ẹyin eyan mi!	remove_only_accents	greetings
Ẹ kú ìgbádùn, ẹ sì kú àsìkò yìí.	Ẹ ku igbadun, ẹ si ku asiko	remove_only_accents_and_any_random_word	greetings
Ẹ kú àsìkò yìí ẹ̀yin olùgbọ wa!	E ku asiko yii eyin olugbo wa!	remove_accents_and_underdots	greetings
Ẹ ṣeun ìya wa, ẹ kú àsìkò yìí.	E seun iya wa, e ku asiko yii.	remove_accents_and_underdots	greetings
Ṣé àlàáfíà ni? ẹ kú àsìkò yìí.	Ṣe alaafia ni? ẹ asiko yii.	remove_only_accents_and_any_random_word	greetings
Ó dábọ̀ o, kí Ọlọ́run má kọ àtúnrí.	O dabọ o, ki Ọlọrun ma kọ atunri.	remove_only_accents	greetings
Ó dígbà o, kí Ọlọ́run má kọ àtúnrí.	O digba o, ki Olorun ma ko atunri.	remove_accents_and_underdots	greetings
Ẹ ó gúnlẹ̀ ayò o, kí Ọlọ́run má kọ àtúnrí.	Ẹ o gunlẹ ayo o, ki Ọlọrun ma kọ atunri.	remove_only_accents	greetings
Ẹ kílé o, kí Ọlọ́run má kọ àtúnrí.	Ẹ ma o, ki Ọlọrun kile kọ atunri.	remove_only_accents_and_swap_word	greetings
Ọkọ̀ ire lẹ ó wọ̀ o, kí Ọlọ́run má kọ àtúnrí.	Oko ire le o wo o, ki Olorun ma ko atunri.	remove_accents_and_underdots	greetings
Ó dábọ̀ o, ìpàde wa bíi oyin.	O dabo o, ipade wa bii oyin.	remove_accents_and_underdots	greetings
Ẹ má pẹ̀ o, ìpàde wa bíi oyin.	Ẹ ma pẹ o, ipade wa bii oyin.	remove_only_accents	greetings
Ẹ bá mi kí wọn lọ́hùn o, ìpàde wa bíi oyin.	Ẹ ba mi ki wọn lọhun o, ipade wa bii oyin.	remove_only_accents	greetings
Ẹ mú nǹkan bọ̀ o, ìpàde wa bíi oyin.	E mu nnkan bo o, ipade wa bii oyin.	remove_accents_and_underdots	greetings
Ọkọ̀ á réfò o, ìpàde wa bíi oyin.	Ọkọ o, refo a ipade wa bii oyin.	remove_only_accents_and_swap_word	greetings
Ẹ kú ọjọ́ ìbí, Ọlọ́run kò ní ṣe èyí láṣe mọ.	Ẹ ku ọjọ ibi, Ọlọrun ko ni ṣe eyi laṣe mọ.	remove_only_accents	greetings
Ẹ kú àjọyọ̀ òní, Ọlọ́run kò ní ṣe èyí láṣe mọ.	Ẹ ku ajọyọ oni, Ọlọrun ko ni ṣe eyi laṣe mọ.	remove_only_accents	greetings
Ẹ kú àjọ̀dún o, Ọlọ́run kò ní ṣe èyí láṣe mọ.	E ku ajodun o, Olorun ko ni se eyi lase mo.	remove_accents_and_underdots	greetings
Ẹ kú ìkómọ òní, Ọlọ́run kò ní ṣe èyí láṣe mọ.	Ẹ ku ikomọ oni, Ọlọrun ko ni ṣe eyi laṣe mọ.	remove_only_accents	greetings
Ẹ kú àpérò, Ọlọ́run kò ní ṣe èyí láṣe mọ.	E ku apero, Olorun ko ni se eyi lase mo.	remove_accents_and_underdots	greetings
Ẹ kú oríire, ẹ kú oyè.	E ku oriire, e ku oye.	remove_accents_and_underdots	greetings
Ẹ kú oyè Bàbá Balógun.	Ẹ ku oye Baba Balogun.	remove_only_accents	greetings
Mo báa yín yọ̀, ẹ kú oyè.	Mo baa yin yo, e ku oye.	remove_accents_and_underdots	greetings
Ìròyin ayọ̀ lèyí o, ẹ kú oyè.	Iroyin ayọ leyi o, ẹ ku oye.	remove_only_accents	greetings
Ẹ kú ináwó, ẹ sì kú oyè.	E ku inawo, e si ku oye.	remove_accents_and_underdots	greetings
Ẹ kú ewu o ìyá ìkókó.	Ẹ ku ewu o iya ikoko.	remove_only_accents	greetings
Ẹ kú ewu o bàbá ìkókó.	E ku ewu o baba ikoko.	remove_accents_and_underdots	greetings
Ẹ kú ewu ọmọ o.	E ku ewu omo o.	remove_accents_and_underdots	greetings
Mo báa yín yọ, ẹ kú ewu.	baa yin yọ, ẹ ku ewu.	remove_only_accents_and_any_random_word	greetings
Olúwa ṣeun o, ẹ kú ewu.	Oluwa seun o, e ku ewu.	remove_accents_and_underdots	greetings
Ẹ kú ewu, mo yọ̀ fún ọ.	E ku ewu, mo yo fun o.	remove_accents_and_underdots	greetings
Ẹ kú oríire, mo yọ̀ fún ọ.	Ẹ ku oriire, fun yọ mo ọ.	remove_only_accents_and_swap_word	greetings
Ẹ kú àṣeyọrí, mo yọ̀ fún ọ.	E ku aseyori, mo yo fun o.	remove_accents_and_underdots	greetings
Ẹ kú ìgbéyàwó, mo yọ̀ fún yín.	Ẹ ku igbeyawo, mo yọ fun yin.	remove_only_accents	greetings
Mo yọ̀ fún ọ, mo yọ̀ fúnra mi.	Mo yo fun o, mo yo funra mi.	remove_accents_and_underdots	greetings
Ẹ kú oríire, ayọ̀ abara tíntín.	E ku oriire, ayo abara tintin.	remove_accents_and_underdots	greetings
Ayọ̀ abara tíntín, a bímọ obìnrin.	Ayọ abara tintin, a bimọ obinrin.	remove_only_accents	greetings
Ayọ̀ abara tíntín, mo yọ̀ fún ọ.	Ayo abara tintin, mo yo fun o.	remove_accents_and_underdots	greetings
Elédùmárè ṣeun, ayọ̀ abara tíntín.	Eledumare ayọ abara tintin.	remove_only_accents_and_any_random_word	greetings
A ó wẹ̀ ẹ́ o, ayọ̀ abara tíntín.	A o wẹ ẹ o, ayọ abara tintin.	remove_only_accents	greetings
Ẹ kú oríire ẹ sì ku ọwọ́ lómi.	E ku oriire e si ku owo lomi.	remove_accents_and_underdots	greetings
Inú mi dùn gan ni, Ẹ kú ọwọ́ lómi.	Inu mi dun gan ni, Ẹ ku ọwọ lomi.	remove_only_accents	greetings
Ẹ kú ọwọ́ lómi, Èdùmàrè á wò ó.	Ẹ ku lomi, Edumare a wo o.	remove_only_accents_and_any_random_word	greetings
Ìya Títí, Ẹ kú ọwọ́ lómi.	Iya Titi, E ku owo lomi.	remove_accents_and_underdots	greetings
Ẹ kú ọwọ́ lómi bàbá.	E ku owo lomi baba.	remove_accents_and_underdots	greetings
Bàbá ti sùn? Àsùn wú o.	Baba ti sun? Asun wu o.	remove_only_accents	greetings
Ọmọ náà ń sùn! Àsùn wú o.	Omo naa n sun! Asun wu o.	remove_accents_and_underdots	greetings
Mo fẹ́ lọ sùn! Àsùn wú o.	Mo fẹ lọ sun! Asun wu o.	remove_only_accents	greetings
Ó dàárọ̀ ọ̀rẹ́ mi, àsùn wú o.	O daarọ ọrẹ mi, asun o.	remove_only_accents_and_any_random_word	greetings
Iya ọlọ́mọ ń sùn lọ́wọ́! Àsùn wú o.	Iya olomo n sun lowo! Asun wu o.	remove_accents_and_underdots	greetings
Ẹ pẹ̀lẹ́, ẹ kú ará fẹ́ra kù.	Ẹ pẹlẹ, ku ara fẹra ku.	remove_only_accents_and_any_random_word	greetings
Ó dun èmi náà, ẹ kú ará fẹ́ra kù.	O dun emi naa, e ku ara fera ku.	remove_accents_and_underdots	greetings
Ẹ kú ará fẹ́ra kù, ẹ jọ̀wọ́ ẹ má rò ó.	E ku ara fera ku, e jowo e ma ro o.	remove_accents_and_underdots	greetings
Olórun á dúró ti ebí òkú, ẹ kú ará fẹ́ra kù.	Olorun a duro ti ebi oku, e ku ara fera ku.	remove_accents_and_underdots	greetings
Ẹ kú ará fẹ́ra kù, ẹ jọ̀wọ́ ẹ má sukún mọ́.	Ẹ ku ara jọwọ ku, ẹ fẹra ẹ ma sukun mọ.	remove_only_accents_and_swap_word	greetings
Ẹ kú iṣẹ́ bàbá, àrokobọ́dún dé.	E ku ise baba, arokobodun de.	remove_accents_and_underdots	greetings
Ẹ̀ ń gbin ẹ̀gẹ́ ni? àrokobọ́dún dé.	E n gbin ege ni? arokobodun de.	remove_accents_and_underdots	greetings
A kí àwọn àgbẹ̀ o, àrokobọ́dún dé.	A ki awon agbe o, arokobodun de.	remove_accents_and_underdots	greetings
Mo fẹ́ dáko! Àrokobọ́dún dé.	Mo fe dako! Arokobodun de.	remove_accents_and_underdots	greetings
A ti gbin àgbàdo tán! Àrokobọ́dún de o.	A ti gbin agbado tan! Arokobodun de o.	remove_accents_and_underdots	greetings
Àrọyè o bàbá alágbẹ̀de!	Aroye o baba alagbede!	remove_accents_and_underdots	greetings
Àrọyè là ń kí alágbẹ̀de.	Arọye la n ki alagbẹde.	remove_only_accents	greetings
Ẹ kú iṣẹ́ o, Àrọyè o!	E ku ise o, Aroye o!	remove_accents_and_underdots	greetings
Mò ń lọ ọ̀dọ alágbẹ̀de. Àrọyè o!	Mo n lo odo alagbede. Aroye o!	remove_accents_and_underdots	greetings
Mo kíi yín o baba, àrọyè o.	Mo kii yin o baba, aroye o.	remove_accents_and_underdots	greetings
À ń lọ oko ọdẹ. Àrìnpa o!	A n lọ oko ọdẹ. Arinpa o!	remove_only_accents	greetings
Bàba ọdẹ ti lọ? àrìnpa o!	Baba ode ti lo? arinpa o!	remove_accents_and_underdots	greetings
Ó dábọ̀ o bàba ọdẹ, àrìnpa o!	O dabo o baba ode, arinpa o!	remove_accents_and_underdots	greetings
Ẹ má pẹ̀ kí ẹ tó dé o, àrìnpa o.	E ma pe ki e to de o, arinpa o.	remove_accents_and_underdots	greetings
Ẹ̀yin ọdẹ, àrìnpa o!	Eyin ode, arinpa o!	remove_accents_and_underdots	greetings
Àwọn ọmọdé ń kí ìyá Aláró wípé Asogun aro o.	Awọn ọmọde o. ki iya Alaro wipe Asogun aro n	remove_only_accents_and_swap_word	greetings
Asogun aro ni a ń kí àwọn Aláró aṣọ.	Asogun aro ni a n ki awon Alaro aso.	remove_accents_and_underdots	greetings
Bàbá bá ìyá aláṣo ni ìkàlẹ̀ ó sì kí pé Asogun aro o.	Baba ba iya alaso ni ikale o si ki pe Asogun aro o.	remove_accents_and_underdots	greetings
Asogun aro ni ọmọdé náà fi kí màmá àgbà Aláró.	aro ni ọmọde naa fi ki mama agba Alaro.	remove_only_accents_and_any_random_word	greetings
Dídé tí mo dé ìsò Aláró, Asogun aro ń ṣubú lura wọn.	Dide ti mo de iso Alaro, Asogun aro n subu lura won.	remove_accents_and_underdots	greetings
Ojugbooro ni a ń kí àwọn onídìrí.	ki ni a n Ojugbooro awọn onidiri.	remove_only_accents_and_swap_word	greetings
Àní ké kí ìyá onídìrí pé ojú gbooro o.	Ani ke ki iya onidiri pe oju gbooro o.	remove_accents_and_underdots	greetings
Mo kí ìyá mi ti o je onídìrí wípé ojú gbooro o.	Mo ki iya mi ti o je onidiri wipe oju gbooro o.	remove_only_accents	greetings
Ojú gbooro ni Bísí kí ìyá ilé wa.	Oju gbooro ni Bisi ki iya ile	remove_only_accents_and_any_random_word	greetings
Ojú gbooro ó, òòyà ó yà o.	Oju gbooro o, ooya o ya o.	remove_accents_and_underdots	greetings
Ibí lẹ wà, àhunyà o!	Ibi lẹ wa, o! ahunya	remove_only_accents_and_swap_word	greetings
Wọ́n kí ahunṣọ pé àhunyà o.	Wọn ki pe ahunṣọ ahunya o.	remove_only_accents_and_swap_word	greetings
Bọlá kí ahunṣọ ẹgbẹ́ ilé wọn pé àhunyà o.	Bọla ki ahunṣọ ẹgbẹ ile wọn ahunya o.	remove_only_accents_and_any_random_word	greetings
Ẹ kú iṣẹ́ o àhunyà o.	E ku ise o ahunya o.	remove_accents_and_underdots	greetings
Àhunyà o, ṣe owó ń yá.	Ahunya o, ṣe owo n ya.	remove_only_accents	greetings
Àbọrúbọyè bàbà!	Aboruboye baba!	remove_accents_and_underdots	greetings
Àbọrúbọyè là ń kí àwọn onífá.	Aboruboye la n ki awon onifa.	remove_accents_and_underdots	greetings
Kúnlé kí bàbà rẹ wí pé Àbọrúbọyè o.	Kunle ki baba re wi pe Aboruboye o.	remove_accents_and_underdots	greetings
Mo kí bàbà náà pé Àbọrúbọyè.	Mo ki baba naa pe Abọrubọye.	remove_only_accents	greetings
Àbọrúbọyè nílé yìí ó, báyìí ni Ṣọlá kí wọn lọ́ọ̀dẹ̀ Fágbèmí.	Aboruboye nile yii o, bayii ni Sola ki won loode Fagbemi.	remove_accents_and_underdots	greetings
Ẹ kú àdúrà o, ọlọsẹ yóò gbà á o.	Ẹ ku adura o, ọlọsẹ yoo gba a o.	remove_only_accents	greetings
Ẹ kú iwájú o, ọlọsẹ yóò gbà á o.	E ku iwaju o, olose yoo gba a o.	remove_accents_and_underdots	greetings
Àwa náà ń bọ̀, ọlọsẹ yóò gbà á o.	Awa naa yoo bọ, ọlọsẹ n gba a o.	remove_only_accents_and_swap_word	greetings
Ẹ kú akitiyan, ọlọsẹ yóò gbà á o.	ku Ẹ akitiyan, ọlọsẹ yoo gba a o.	remove_only_accents_and_swap_word	greetings
Ọlọsẹ yóò gbà á o, a ò ní ṣe é lásán.	Olose yoo gba a o, a o ni se e lasan.	remove_accents_and_underdots	greetings
Ẹ kú ọjà, ajé rere yóò wọgbá.	Ẹ ku ọja, aje rere yoo wọgba.	remove_only_accents	greetings
Àtà jèrè ó, ajé rere yóò wọgbá.	Ata jere o, aje rere yoo wogba.	remove_accents_and_underdots	greetings
Ẹ kú iṣẹ́, ajé rere yóò wọgbá.	Ẹ ku iṣẹ, aje rere yoo wọgba.	remove_only_accents	greetings
Ajé rere yóò wọgbá o ìyá Bísí.	Aje rere yoo wogba o iya Bisi.	remove_accents_and_underdots	greetings
Ẹ kú ọ̀rọ̀ ajé òní, ajé rere yóò wọgbá.	Ẹ ku ọrọ aje oni, aje rere yoo wọgba.	remove_only_accents	greetings
Àdẹpa ogún o!	Adepa ogun o!	remove_accents_and_underdots	greetings
Àdẹpa ogún bàbà ọdẹ.	baba ogun Adẹpa ọdẹ.	remove_only_accents_and_swap_word	greetings
Àdẹpa ogún là ń kí àwọn ọlọ́dẹ.	Adẹpa ogun la n ki ọlọdẹ.	remove_only_accents_and_any_random_word	greetings
Ìyàwó òde kí ọkọ rẹ pé Àdẹpa o.	Iyawo ode ki ọkọ rẹ pe Adẹpa o.	remove_only_accents	greetings
Àdẹpa ó, Ọlọ́run yóò mú pípa wá o.	Adẹpa o, Ọlọrun yoo mu pipa wa o.	remove_only_accents	greetings
Aláyélúwà, kádé pẹ́ lórí kí bàtà pẹ́ lẹ́sẹ̀.	Alayeluwa, kade pe lori ki bata pe lese.	remove_accents_and_underdots	greetings
Kábíyèsí, Kádé pẹ́ lórí kí bàtà pẹ́ lẹ́sẹ̀.	Kabiyesi, Kade pe lori ki bata pe lese.	remove_accents_and_underdots	greetings
Kádé pẹ́ lórí kí bàtà pẹ́ lẹ́sẹ̀ là ń kí àláyélúwà láàfin.	Kade pe lori ki bata pe lese la n ki alayeluwa laafin.	remove_accents_and_underdots	greetings
Moyírà fún Kábíyèsí, Kádé pẹ́ lórí kí bàtà pẹ́ lẹ́sẹ̀.	Moyira fun Kabiyesi, Kade pẹ lori ki bata pẹ lẹsẹ.	remove_only_accents	greetings
Kádé pẹ́ lórí kí bàtà pẹ́ lẹ́sẹ̀, bàbá ẹ̀ pẹ́ fún wa.	Kade pe lori ki bata pe lese, baba e pe fun wa.	remove_accents_and_underdots	greetings
Àjẹgbó, àjẹtọ́, àjẹpẹ́ ni ti àwọn ìjòyè.	Ajegbo, ajeto, ajepe ni ti awon ijoye.	remove_accents_and_underdots	greetings
Oyè á mọ́rí o, Àjẹgbó, àjẹtọ́, àjẹpẹ́.	Oye a mọri o, Ajẹgbo, ajẹtọ, ajẹpẹ.	remove_only_accents	greetings
Bàbá olóyè, oyè yín yóò jẹ Àjẹgbó, àjẹtọ́, àjẹpẹ́.	Baba oloye, oye yin yoo je Ajegbo, ajeto, ajepe.	remove_accents_and_underdots	greetings
Ẹ kú oriire òní, Àjẹgbó, àjẹpẹ́ àjẹtọ́.	E ku oriire oni, Ajegbo, ajepe ajeto.	remove_accents_and_underdots	greetings
Kábíyèsí òye yóò mó rí, Àjẹgbó, àjẹtọ́, àjepẹ́.	Kabiyesi oye mo ri, Ajẹgbo, ajẹtọ, ajepẹ.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìbà bàbà olóye.	E ku iba baba oloye.	remove_accents_and_underdots	greetings
Ẹ kú ìbà àtàárọ̀.	E ku iba ataaro.	remove_accents_and_underdots	greetings
Ẹ kú ìbà kábíyèsí, ogbó, ató yín baba.	Ẹ ku iba kabiyesi, ogbo, yin baba.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìbà mi ìgbà gbogbo.	E ku iba mi igba gbogbo.	remove_accents_and_underdots	greetings
Ẹ kú ìbà ó eyín ènìyàn mi.	E ku iba o eyin eniyan mi.	remove_accents_and_underdots	greetings
Àrẹpọ́n o ìya wa.	Arepon o iya wa.	remove_accents_and_underdots	greetings
Àrẹpọ́n o ìyá Aláró.	Arepon o iya Alaro.	remove_accents_and_underdots	greetings
Mo kí ìyá àgbà kú Àrẹpọ́n o.	Mo ki iya agba ku Arẹpọn o.	remove_only_accents	greetings
Àrẹpọ́n o, ẹ sì kú iṣẹ́.	Arẹpọn o, ẹ si ku iṣẹ.	remove_only_accents	greetings
Àwọn Aláró ń kí ara wọn pé Àrẹpọ́n o.	Awọn o. n ki ara wọn pe Arẹpọn Alaro	remove_only_accents_and_swap_word	greetings
Àmọyè o bàba oníkòkò.	Amoye o baba onikoko.	remove_accents_and_underdots	greetings
Ẹ kú iṣẹ́, Àmọyè ni yóò jẹ́.	E ku ise, Amoye ni yoo je.	remove_accents_and_underdots	greetings
Àmọyè ó ìyá mi.	Amoye o iya mi.	remove_accents_and_underdots	greetings
Àmọyè ni tàwọn òníkòkò.	tawọn ni Amọye onikoko.	remove_only_accents_and_swap_word	greetings
Àmọyè ó ẹyin amọ̀kòkò!	Amoye o eyin amokoko!	remove_accents_and_underdots	greetings
Ẹ kú iṣẹ́ bàbá, ẹmu á ṣẹ̀ o.	E ku ise baba, emu a se o.	remove_accents_and_underdots	greetings
Baba ẹlẹ́mu, ẹmu á ṣẹ̀ o.	Baba elemu, emu a se o.	remove_accents_and_underdots	greetings
Ẹ ti ń lọ oko ẹmu baba? ẹmú á ṣẹ̀ o.	E ti n lo oko emu baba? emu a se o.	remove_accents_and_underdots	greetings
Ẹmu á ṣẹ̀ ó baba.	baba. a ṣẹ o Ẹmu	remove_only_accents_and_swap_word	greetings
Àyánpéjú kí bàbá ìyá rẹ̀ pé ẹmu á ṣẹ̀ o.	Ayanpeju ki baba iya re pe emu a se o.	remove_accents_and_underdots	greetings
Ẹ kú ìkàlẹ̀ ó, mo kọ́tà mo kópè o.	Ẹ ikalẹ o, mo kọta mo kope o.	remove_only_accents_and_any_random_word	greetings
Mo kọ́tà mo kópè ó eyín ènìyàn mi.	Mo kọta mo kope o eyin eniyan mi.	remove_only_accents	greetings
Mo kọ́tà mo kópè níbí yìí o.	Mo kota mo kope nibi yii o.	remove_accents_and_underdots	greetings
Mo kọ́tà mo kópè nílé ayò o.	Mo kota mo kope nile ayo o.	remove_accents_and_underdots	greetings
Ìdí ayo ni a ń kíni pé mo kọ́tà mo kópè.	Idi ayo ni a n kini pe mo kota mo kope.	remove_accents_and_underdots	greetings
Ẹ kú iṣẹ́ o bàbà, Àwẹ̀lú o.	Ẹ o. iṣẹ o baba, Awẹlu ku	remove_only_accents_and_swap_word	greetings
Àwẹ̀lú o là n kì òmùwẹ̀.	Awelu o la n ki omuwe.	remove_accents_and_underdots	greetings
Àwẹ̀lú o bàbá àgbà.	Awelu o baba agba.	remove_accents_and_underdots	greetings
Àwẹ̀lú o ìyá Táyọ̀!	Awelu o iya Tayo!	remove_accents_and_underdots	greetings
Àwẹ̀lú o ẹ̀yin òmùwẹ̀.	Awelu o eyin omuwe.	remove_accents_and_underdots	greetings
Ẹ kú atótónu látàárọ̀.	E ku atotonu lataaro.	remove_accents_and_underdots	greetings
Ẹ kú atótónu ẹ̀yin ènìyàn mi.	E ku atotonu eyin eniyan mi.	remove_accents_and_underdots	greetings
Ẹ kú atótónu ìyá Bísí.	E ku atotonu iya Bisi.	remove_accents_and_underdots	greetings
Ẹ kú atótónu, èrè ayọ̀ la ó gbà níbè.	Ẹ ku atotonu, ere ayọ la o gba nibe.	remove_only_accents	greetings
Ẹ kú atótónu, ẹ sì kú ọrọ̀ ìlú.	Ẹ atotonu, ẹ si ku ọrọ ilu.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ọjọ́ mẹ́ta eyín ara ilé.	E ku ojo meta eyin ara ile.	remove_accents_and_underdots	greetings
Ẹ kú ọjọ́ mẹ́ta gbogbo mọ̀lẹ́bí.	E ku ojo meta gbogbo molebi.	remove_accents_and_underdots	greetings
Ẹ kú ọjọ́ mẹ́ta o, ṣé àlàáfíà lẹ wà?	E ku ojo meta o, se alaafia le wa?	remove_accents_and_underdots	greetings
Ẹ kú ọjọ́ mẹta eyín ọ̀rẹ́ mi.	E ku ojo meta eyin ore mi.	remove_accents_and_underdots	greetings
Ẹ kú ọjọ́ mẹ́ta, ṣe ayọ̀ ni a báa yín?	E ku ojo meta, se ayo ni a baa yin?	remove_accents_and_underdots	greetings
Ẹ kú dédé ìwòyí gbogbo ilé!	E ku dede iwoyi gbogbo ile!	remove_accents_and_underdots	greetings
Ẹ kú dédé ìwòyí, ṣe ara le?	E ku dede iwoyi, se ara le?	remove_accents_and_underdots	greetings
Ẹ kú dédé ìwòyí, ṣe àlàáfíà la báa yín?	Ẹ ku dede iwoyi, ṣe alaafia la baa yin?	remove_only_accents	greetings
Ẹ kú dédé ìwòyí ẹ̀yin ọmọdé wọ̀nyí.	Ẹ ku dede iwoyi ẹyin ọmọde wọnyi.	remove_only_accents	greetings
A kú dédé ìwòyí ẹ̀yin ọ̀rẹ́ mi.	A ku dede iwoyi eyin ore mi.	remove_accents_and_underdots	greetings
Ẹ kú ìjókòó gbogbo ilé.	E ku ijokoo gbogbo ile.	remove_accents_and_underdots	greetings
Ẹ kú ìjókòó eyín àgbààgbà.	E ku ijokoo eyin agbaagba.	remove_accents_and_underdots	greetings
Ẹ kú ìjókòó, babá ń bọ̀.	E ku ijokoo, baba n bo.	remove_accents_and_underdots	greetings
Ẹ kú ìjókòó, ayọ̀ ni yóò já sí.	Ẹ ku ijokoo, ayọ ni yoo ja si.	remove_only_accents	greetings
Ẹ kú ìjókòó ẹ̀yín ìyá mi.	E ku ijokoo eyin iya mi.	remove_accents_and_underdots	greetings
Bàbá ọdẹ ẹ kú iṣẹ́, owó á dẹ o.	Baba ode e ku ise, owo a de o.	remove_accents_and_underdots	greetings
Ọwọ́ á dẹ o bàbá mi.	Ọwọ a dẹ o baba mi.	remove_only_accents	greetings
Ọwọ́ á dẹ o bàba ọdẹ!	Owo a de o baba ode!	remove_accents_and_underdots	greetings
Ọwọ́ á dẹ o, ìgbé yóò dára.	Ọwọ a dẹ o, yoo dara.	remove_only_accents_and_any_random_word	greetings
Ọwọ́ á dẹ o gbogbo ẹ̀yin ẹgbẹ́ ọdẹ.	Owo a de o gbogbo eyin egbe ode.	remove_accents_and_underdots	greetings
Ẹ pẹ̀lẹ́ ẹ sì kú aráfẹ́rakù.	Ẹ pẹlẹ ẹ si ku arafẹraku.	remove_only_accents	greetings
Ẹ kú aráfẹ́rakù ti bàbá àgbà.	arafẹraku ku Ẹ ti baba agba.	remove_only_accents_and_swap_word	greetings
Ẹ kú aráfẹ́rakù, a ò ní rí irú rẹ̀ mọ́.	E ku araferaku, a o ni ri iru re mo.	remove_accents_and_underdots	greetings
Ẹ kú aráfẹ́rakù, àwọn tókù yóò di irú digba.	Ẹ ku arafẹraku, awọn toku yoo di iru digba.	remove_only_accents	greetings
Ẹ kú aráfẹ́rakù, ẹ sì kú akitiyan.	E ku araferaku, e si ku akitiyan.	remove_accents_and_underdots	greetings
Ẹ kú òǹgbẹ, ẹ̀mí á ṣíkà.	E ku ongbe, emi a sika.	remove_accents_and_underdots	greetings
Ẹ kú òǹgbẹ, àdúrà yóò gbà.	ku ongbẹ, adura yoo gba.	remove_only_accents_and_any_random_word	greetings
